Process,0,1,2,specificity
GOBP_NEGATIVE_REGULATION_OF_STEROL_TRANSPORT,0.81,-4.06,6.6,5.78
GOBP_REGULATION_OF_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING,-2.23,-0.78,6.59,7.37
GOBP_OXIDATIVE_PHOSPHORYLATION,0.69,3.36,6.35,2.98
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,0.71,4.63,6.26,1.63
GOBP_NEGATIVE_REGULATION_OF_LIPID_CATABOLIC_PROCESS,-2.0,-2.39,6.25,8.25
GOBP_PHOSPHOLIPID_EFFLUX,-1.03,-3.37,5.86,6.88
GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING,-0.0,-2.61,5.52,5.53
GOBP_CHOLESTEROL_IMPORT,-2.37,-0.81,5.43,6.24
GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN,0.81,5.12,5.23,0.11
GOBP_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_CLEARANCE,1.07,-3.29,5.14,4.07
GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE,-1.78,-1.26,5.02,6.27
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,2.04,2.68,4.77,2.09
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY,1.26,1.82,4.74,2.91
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,1.44,2.99,4.56,1.57
GOBP_POSITIVE_REGULATION_OF_COA_TRANSFERASE_ACTIVITY,0.57,-1.46,4.45,3.88
GOBP_REGULATION_OF_COA_TRANSFERASE_ACTIVITY,0.57,-1.46,4.45,3.88
GOBP_NEGATIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE,-0.17,-1.91,4.25,4.42
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,1.64,1.66,4.22,2.56
GOBP_ACUTE_INFLAMMATORY_RESPONSE,-2.92,3.54,3.78,0.24
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_UBIQUINOL_TO_CYTOCHROME_C,-1.96,1.61,3.78,2.17
GOBP_REVERSE_CHOLESTEROL_TRANSPORT,-1.3,-0.06,3.74,3.81
GOBP_FORMATE_METABOLIC_PROCESS,-8.91,8.2,3.71,-4.49
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE,-1.37,-2.2,3.68,5.05
GOBP_POSITIVE_REGULATION_OF_PHAGOCYTOSIS,-3.61,-2.59,3.62,6.21
GOBP_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_REMODELING,-0.01,-1.34,3.62,3.63
